segment_filename,basefile,age,gender,n,ngram,clean_google_phrase,clean_google_ngram_wer,clean_ibm_phrase,clean_ibm_ngram_wer,clean_amazon_phrase,clean_amazon_ngram_wer,clean_msft_phrase,clean_msft_ngram_wer,clean_apple_phrase,clean_apple_ngram_wer
DCB_se1_ag2_f_01_1_493519_499002.wav,DCB_se1_ag2_f_01_1,28,Female,5,it was a lot of,it was a lot of,0,it was a lot of,0,it was a lot of,0,it was a lot,0.2,it was a lot of,0
DCB_se1_ag2_f_01_1_674039_691608.wav,DCB_se1_ag2_f_01_1,28,Female,5,see a lot of people,see a lot of people,0,see a lot of people,0,see a lot of people,0,see a lot of people,0,see a lot of people,0
DCB_se1_ag2_f_01_1_739387_747606.wav,DCB_se1_ag2_f_01_1,28,Female,5,a lot of people are,,1,a lot of people,0.2,a,0.8,lot people,0.6,,1
DCB_se1_ag2_f_01_1_940041_965741.wav,DCB_se1_ag2_f_01_1,28,Female,5,and then i went to,and then i went to,0,and then i went to,0,and then i went to,0,and then i went to,0,and i went to,0.2
DCB_se1_ag2_f_01_1_1058180_1106086.wav,DCB_se1_ag2_f_01_1,28,Female,5,it was just like that,it was just like that,0,it was just like that,0,it was just like that,0,it was just like that,0,it was just like that,0
DCB_se1_ag2_f_01_1_1451640_1459994.wav,DCB_se1_ag2_f_01_1,28,Female,5,and then we moved to,and then we moved,0.2,to,0.8,and then we,0.4,and then we move to,0.2,and then we moved to,0
DCB_se1_ag2_f_01_1_2193689_2211074.wav,DCB_se1_ag2_f_01_1,28,Female,5,i dont know but i,i dont know but i,0,but i,0.6,but i,0.6,i dont know but i,0,i,0.8
DCB_se1_ag2_f_03_1_490492_537551.wav,DCB_se1_ag2_f_03_1,25,Female,5,for a long time and,for a long time and,0,for a long time and,0,for a long time and,0,for a long term and,0.2,for a long time and,0
DCB_se1_ag2_f_03_1_793833_814674.wav,DCB_se1_ag2_f_03_1,25,Female,5,and now im thinking about,and now im thinking about,0,and now im thinking about,0,and now im thinking about,0,and now im thinking about,0,and now im thinking about,0
DCB_se1_ag2_f_03_1_1739317_1755838.wav,DCB_se1_ag2_f_03_1,25,Female,5,and my mother was a,and my mother was a,0,was a,0.6,and my mother was,0.2,and my mother was,0.2,and my mother was a,0
DCB_se1_ag2_f_03_1_3210488_3231844.wav,DCB_se1_ag2_f_03_1,25,Female,5,so i was like i,like i,0.6,like i,0.6,like i,0.6,like i,0.6,so than twelve like i,0.4
